question_id,bleurt_score
bb_1007,0.16713175177574158
bb_1009,0.24757316708564758
bb_1010,0.23196133971214294
bb_1013,0.2220679521560669
bb_1026,0.5155489444732666
bb_1029,0.229048952460289
bb_1051,0.30022692680358887
bb_1061,0.2709917426109314
bb_1064,0.2519715428352356
bb_1078,0.466000497341156
bb_1080,0.3157249093055725
bb_110,0.26277774572372437
bb_1106,0.2813107967376709
bb_1112,0.20942527055740356
bb_1115,0.11016656458377838
bb_113,0.2806207537651062
bb_1135,0.2418089061975479
bb_1149,0.2955886125564575
bb_1161,0.2560288608074188
bb_1165,0.218528613448143
bb_1170,0.33564937114715576
bb_1172,0.37614548206329346
bb_118,0.23939865827560425
bb_1181,0.33208709955215454
bb_1189,0.2656927704811096
bb_1194,0.2068312168121338
bb_12,0.11423076689243317
bb_1200,0.38357388973236084
bb_121,0.30792003870010376
bb_1220,0.5614350438117981
bb_1251,0.44135260581970215
bb_1254,0.1784438192844391
bb_1257,0.2806059718132019
bb_1263,0.3403785228729248
bb_1283,0.21337728202342987
bb_1288,0.18905457854270935
bb_1292,0.21662233769893646
bb_1323,0.2120998650789261
bb_1339,0.775227963924408
bb_1341,0.1512126326560974
bb_1342,0.16649746894836426
bb_1352,0.4333168864250183
bb_1357,0.37938034534454346
bb_1372,0.402255117893219
bb_1374,0.3229530453681946
bb_14,0.38469398021698
bb_1412,0.190692737698555
bb_1415,0.32140856981277466
bb_1426,0.48190170526504517
bb_1438,0.528965950012207
bb_1464,0.24217373132705688
bb_1467,0.2841836214065552
bb_1469,0.8596351742744446
bb_1493,0.325843870639801
bb_15,0.4127664566040039
bb_1513,0.3464090824127197
bb_1522,0.36092281341552734
bb_1523,0.2678737938404083
bb_1527,0.3727306127548218
bb_1549,0.43299388885498047
bb_1551,0.2627340257167816
bb_1558,0.40214425325393677
bb_1566,0.28277313709259033
bb_1567,0.2893604040145874
bb_1575,0.24765394628047943
bb_1584,0.502123236656189
bb_1588,0.250203400850296
bb_1612,0.43341386318206787
bb_1614,0.3505280315876007
bb_1626,0.44225984811782837
bb_1657,0.25382816791534424
bb_1666,0.4104771018028259
bb_168,0.45666295289993286
bb_1685,0.426788866519928
bb_1687,0.4050925374031067
bb_1696,0.2208685278892517
bb_172,0.26845014095306396
bb_1721,0.45007485151290894
bb_1736,0.10106578469276428
bb_1742,0.36357784271240234
bb_1750,0.36006706953048706
